Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIRELESS,Total general
BUENOS AIRES,25 de Mayo,25 de Mayo,874,4542,0,3,0,852,706,6977
BUENOS AIRES,25 de Mayo,Del Valle,181,0,0,0,10,1,0,192
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,0,0,0,0,0,0,181,181
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,0,782,0,6,167,0,327,1282
BUENOS AIRES,25 de Mayo,Lucas Monteverde,0,0,0,0,0,0,6,6
BUENOS AIRES,25 de Mayo,Ernestina,66,0,0,0,0,0,0,66
BUENOS AIRES,25 de Mayo,Pedernales,568,0,0,0,0,0,7,575
BUENOS AIRES,9 de Julio,12 de Octubre,0,0,0,0,0,0,19,19
BUENOS AIRES,9 de Julio,9 de Julio,4313,3354,82,6228,83,1,831,14892
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),450,0,0,0,60,0,0,510
BUENOS AIRES,9 de Julio,Dudignac,0,0,1,0,0,0,463,464
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),199,0,0,2,2,0,0,203
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),0,0,0,118,0,0,42,160
BUENOS AIRES,9 de Julio,Patricios,81,0,0,0,0,0,0,81
BUENOS AIRES,Adolfo Alsina,Carhué,780,0,1,1417,1,0,283,2482
BUENOS AIRES,Adolfo Alsina,Maza,0,0,0,390,0,2,14,406
BUENOS AIRES,Adolfo Alsina,Rivera,0,0,0,1202,0,0,0,1202
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,0,0,0,208,0,0,0,208
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,0,0,0,60,0,0,0,60
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),549,0,2,943,0,0,313,1807
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,0,0,0,654,6,0,57,717
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,0,0,0,0,0,0,46,46
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,0,0,0,0,0,0,14,14
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),457,0,6,1,0,0,8,472
BUENOS AIRES,Alberti,Mechita,285,0,0,0,0,0,0,285
BUENOS AIRES,Almirante Brown,Adrogué,214,9299,59,11440,2,1,26,21041
BUENOS AIRES,Almirante Brown,Burzaco,142,16627,35,11333,40,2,310,28489
BUENOS AIRES,Almirante Brown,Claypole,5,7652,3,4140,13,0,2,11815
BUENOS AIRES,Almirante Brown,Don Orione,0,5407,0,0,0,0,1,5408
BUENOS AIRES,Almirante Brown,Glew,55,8227,10,11652,12,0,54,20010
BUENOS AIRES,Almirante Brown,Jose Mármol,0,7432,1,1410,2,0,1,8846
BUENOS AIRES,Almirante Brown,Longchamps,30,9657,20,14739,24,0,1,24471
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,2,5417,3,44,2,0,1,5469
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,3,3474,4,4066,4,0,1,7552
BUENOS AIRES,Almirante Brown,Rafael Calzada,37,10549,15,9925,193,0,340,21059
BUENOS AIRES,Almirante Brown,San Francisco Solano,26,4296,4,3253,131,0,2,7712
BUENOS AIRES,Almirante Brown,San Jose,3,9378,2,167,0,3,1,9554
BUENOS AIRES,Arrecifes,Arrecifes,906,1153,12,4393,60,1,1878,8403
BUENOS AIRES,Arrecifes,Todd,0,0,0,304,0,0,0,304
BUENOS AIRES,Arrecifes,Viña,50,60,0,0,0,0,0,110
BUENOS AIRES,Avellaneda,Avellaneda,1486,8664,48,5897,68,5,80,16248
BUENOS AIRES,Avellaneda,Crucesita,1,4887,0,2825,2,0,0,7715
BUENOS AIRES,Avellaneda,Dock Sud,11,675,0,2415,12,0,26,3139
BUENOS AIRES,Avellaneda,Gerli,3,5975,0,4534,0,0,0,10512
BUENOS AIRES,Avellaneda,Pineyro,9,5948,1,2403,0,0,0,8361
BUENOS AIRES,Avellaneda,Sarandí,1935,9969,67,11897,4,3,1,23876
BUENOS AIRES,Avellaneda,Villa Domínico,16,8812,2,7111,11,0,626,16578
BUENOS AIRES,Avellaneda,Wilde,2053,12456,66,13337,8,0,87,28007
BUENOS AIRES,Ayacucho,Ayacucho,2053,0,2,0,0,0,139,2194
BUENOS AIRES,Ayacucho,La Constancia,0,0,0,0,0,0,10,10
BUENOS AIRES,Ayacucho,Solanet,0,0,0,0,0,0,27,27
BUENOS AIRES,Ayacucho,Udaquiola,0,0,0,0,0,1,46,47
BUENOS AIRES,Azul,Azul,2424,13918,51,56,65,2,1145,17661
BUENOS AIRES,Azul,Cacharí,0,0,2,0,0,0,521,523
BUENOS AIRES,Azul,Chillar,0,0,0,0,0,1,565,566
BUENOS AIRES,Bahía Blanca,Bahía Blanca,4690,103210,402,9967,493,14,2764,121540
BUENOS AIRES,Bahía Blanca,Cabildo,0,193,4,6,5,0,153,361
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),373,1488,1,0,0,0,15,1877
BUENOS AIRES,Bahía Blanca,Ingeniero White,0,0,0,1,0,8,0,9
BUENOS AIRES,Balcarce,Balcarce,1503,11090,38,37,47,0,883,13598
BUENOS AIRES,Balcarce,Los Pinos,0,0,0,0,9,0,30,39
BUENOS AIRES,Balcarce,Napaleofú,0,0,0,15,0,0,50,65
BUENOS AIRES,Balcarce,Ramos Otero,0,0,0,0,0,0,8,8
BUENOS AIRES,Balcarce,San Agustín,0,0,0,0,3,0,72,75
BUENOS AIRES,Balcarce,Villa Laguna La Brava,0,0,0,0,0,0,42,42
BUENOS AIRES,Baradero,Baradero,1726,6904,0,3,0,1,809,9443
BUENOS AIRES,Baradero,Villa Alsina  (Est. Alsina),120,0,0,0,0,0,150,270
BUENOS AIRES,Baradero,Irineo Portela,0,0,0,1,0,1,76,78
BUENOS AIRES,Baradero,Santa Coloma,0,0,0,0,0,0,53,53
BUENOS AIRES,Benito Juárez,Barker,0,0,1,10,0,3,70,84
BUENOS AIRES,Benito Juárez,Benito Juárez  (Est. Juárez),782,0,20,563,4,1,147,1517
BUENOS AIRES,Benito Juárez,López,0,0,0,4,0,0,12,16
BUENOS AIRES,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),0,0,0,20,0,1,100,121
BUENOS AIRES,Berazategui,Berazategui,1620,17627,42,24204,57,6,49,43605
BUENOS AIRES,Berazategui,Berazategui Oeste,16,74,0,15245,0,0,0,15335
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,17,1474,0,1622,0,0,0,3113
BUENOS AIRES,Berazategui,Centro Agrícola El Pato,2025,1456,0,0,0,0,16,3497
BUENOS AIRES,Berazategui,Guillermo E. Hudson,130,6481,2,8996,3,0,0,15612
BUENOS AIRES,Berazategui,Juan María Gutierrez,501,2228,4,3062,0,0,90,5885
BUENOS AIRES,Berazategui,Pereyra,9,242,1,310,0,0,0,562
BUENOS AIRES,Berazategui,Plátanos,0,1938,0,2199,1,0,0,4138
BUENOS AIRES,Berazategui,Ranelagh,39,2949,13,7371,0,1,0,10373
BUENOS AIRES,Berazategui,Villa España,2,1220,0,2121,0,0,0,3343
BUENOS AIRES,Berisso,Berisso,4198,12545,23,7189,29,0,368,24352
BUENOS AIRES,Berisso,Villa Nueva,0,0,0,132,0,0,250,382
BUENOS AIRES,Berisso,Barrio El Carmen (Este),0,0,0,132,0,0,250,382
BUENOS AIRES,Berisso,Villa Arguello,0,0,0,132,0,0,250,382
BUENOS AIRES,Berisso,Villa Progreso,0,0,0,132,0,0,250,382
BUENOS AIRES,Bolívar,OTROS,0,1,0,1,0,0,0,2
BUENOS AIRES,Bolívar,Pirovano,0,0,0,0,50,0,45,95
BUENOS AIRES,Bolívar,San Carlos de Bolívar  (Est. Bolívar),963,5136,2,0,0,1,255,6357
BUENOS AIRES,Bolívar,Urdampilleta,0,0,6,2,6,0,71,85
BUENOS AIRES,Bolívar,Hale,10,0,0,0,0,0,0,10
BUENOS AIRES,Bragado,Bragado,674,4141,10,127,0,0,212,5164
BUENOS AIRES,Bragado,General O'Brien,321,0,0,83,0,0,36,440
BUENOS AIRES,Bragado,Irala,0,2,0,0,0,0,22,24
BUENOS AIRES,Bragado,Mechita (Est. Mecha),10,8,0,0,0,0,8,26
BUENOS AIRES,Bragado,Warnes,135,0,0,0,9,0,7,151
BUENOS AIRES,Bragado,Comodoro Py,0,0,0,220,0,0,2,222
BUENOS AIRES,Bragado,Olascoaga,0,0,0,0,0,0,40,40
BUENOS AIRES,Brandsen,Coronel Brandsen,1805,5,0,1534,2,0,1135,4481
BUENOS AIRES,Brandsen,Jeppener,676,0,0,2,0,0,0,678
BUENOS AIRES,Campana,Campana,1981,17768,1,9777,18,5,43,29593
BUENOS AIRES,Campana,Lomas del Río Luján (Est. Río Luján),0,50,0,0,0,0,0,50
BUENOS AIRES,Campana,Alto Los Cardales,0,0,0,106,0,0,41,147
BUENOS AIRES,Campana,Barrio Los Pioneros,0,0,0,0,0,0,40,40
BUENOS AIRES,Campana,Chacras Del Río Luján,0,0,0,0,0,0,35,35
BUENOS AIRES,Cañuelas,Alejandro Petión,206,858,7,0,0,0,44,1115
BUENOS AIRES,Cañuelas,Barrio El Taladro,0,0,0,200,0,0,0,200
